app_id,name,release_date,game_genre,tags,summary,platform,categories,price,num_positive_review,num_negative_review,review_score_description,total_reviews,positive_ratio,metacritic_score,recommendations,is_free
246090,Spacebase DF-9,27/10/14,Indie | Simulation | Strategy,2D | Adventure | Base Building | Building | City Builder | Comedy | Futuristic | Indie | Isometric | Management | Sandbox | Sci-fi | Simulation | Singleplayer | Space | Strategy | Survival,"In Spacebase DF-9, you'll build a home among the stars for a motley population of humans and aliens as they go about their daily lives. Mine asteroids, discover derelicts, and deal with the tribulations of galactic resettlement in Earth's distant future.",windows | mac | linux,Family Sharing | Single-player | Steam Cloud | Steam Trading Cards,6.99,774,3496,Overwhelmingly Negative,4270,0.181264637,49,3306,FALSE
246110,MASSIVE CHALICE,01/06/15,Indie | Strategy,Fantasy | Indie | Kickstarter | Management | Perma Death | RPG | Roguelike | Singleplayer | Strategy | Tactical | Tactical RPG | Turn-Based | Turn-Based Combat | Turn-Based Strategy | Turn-Based Tactics,"MASSIVE CHALICE is a tactical strategy game set on an epic timeline from Double Fine Productions. As the Immortal Ruler of the nation, you'll take command of its heroes, forge heroic marriages to strengthen your Bloodlines, and battle a mysterious enemy known as the Cadence in a 300 year war.",windows | mac | linux,Captions available | Family Sharing | Full controller support | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,14.99,1336,504,Mostly Positive,1840,0.726086957,73,1189,FALSE
246420,Kingdom Rush,06/01/14,Strategy,2D | Action | Action-Adventure | Adventure | Cartoon | Cartoony | Casual | Colorful | Comedy | Difficult | Fantasy | Funny | Indie | Medieval | RPG | Singleplayer | Strategy | Tactical | Touch-Friendly | Tower Defense,"Get ready for an epic journey to defend your kingdom against hordes of orcs, trolls, evil wizards and other nasty fiends using a vast arsenal of towers and spells at your command!Fight on forests, mountains and wastelands, customizing your defensive strategy with different tower upgrades and specializations!",windows | mac | linux,Family Sharing | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,6.99,13519,374,Overwhelmingly Positive,13893,0.973079968,,11667,FALSE
246580,The Typing of The Dead: Overkill,29/10/13,Action,Action | Arcade | Co-op | Comedy | Education | FPS | First-Person | Funny | Gore | Great Soundtrack | Horror | Mature | Multiplayer | On-Rails Shooter | Parody | Score Attack | Shooter | Singleplayer | Typing | Zombies,Typing of the dead: Overkill fuses the horror and comedy of the legendary House of the Dead series with unique typing mechanics in order to deliver a truly original gaming experience! This gruesome shooter puts you in the middle of a mutant outbreak in Bayou county.,windows,Family Sharing | Multi-player | Partial Controller Support | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards,14.99,3169,455,Very Positive,3624,0.874448124,,2361,FALSE
246620,Plague Inc: Evolved,18/02/16,Casual | Indie | Simulation | Strategy,2D | Addictive | Atmospheric | Casual | Co-op | Difficult | Early Access | Indie | Multiplayer | Outbreak Sim | Post-apocalyptic | Realistic | Replay Value | Sandbox | Simulation | Singleplayer | Strategy | Survival | Tactical | Zombies,"Plague Inc: Evolved is a unique mix of high strategy and terrifyingly realistic simulation. Your pathogen has just infected 'Patient Zero' - now you must bring about the end of human history by evolving a deadly, global Plague whilst adapting against everything humanity can do to defend itself.",windows | mac | linux,Co-op | Cross-Platform Multiplayer | Family Sharing | Includes level editor | Multi-player | Online Co-op | Online PvP | Partial Controller Support | PvP | Remote Play on Tablet | Single-player | Stats | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards | Steam Workshop,11.99,49732,2900,Very Positive,52632,0.944900441,,46811,FALSE
246680,Secrets of Rætikon,17/04/14,Action | Adventure | Indie,2D | Action | Adventure | Beautiful | Controller | Exploration | Flight | Fox | Indie | Metroidvania | Nature | Open World | Platformer | Puzzle | Side Scroller | Singleplayer,Ruthless bird versus bird action. Wild animals and the artefacts of a mysterious ancient culture. A game full of challenge and discovery – unlike anything you've played before.,windows | mac | linux,Family Sharing | Full controller support | Includes level editor | Single-player | Steam Achievements | Steam Workshop,6.99,287,191,Mixed,478,0.60041841,,165,FALSE
246720,Wayward Manor,15/07/14,Adventure | Casual | Indie,Adventure | Casual | Horror | Indie | Puzzle,"Neil Gaiman &amp; Wayward Manor invite you to jump into the afterlife of a disgruntled ghost, trying to reclaim his house from its newfound owners.",windows | mac,Family Sharing | Single-player | Steam Achievements,4.99,28,51,Mostly Negative,79,0.35443038,41,,FALSE
246740,Huntsman: The Orphanage (Halloween Edition),13/09/13,Action | Adventure | Indie,Action | Adventure | First-Person | Horror | Indie,"MORE STORY THAN GORY! A HYBRID OF ALTERNATIVE HORROR AND CREEPYPASTA...Welcome to the Halloween Edition v1.03! Take a deep breath, dim the lights, put on your headphones...Non-linear first-person gameplay lets you explore Grimhaven Orphanage and discover the characters who once lived there – voiced by Dan Bull, Chuck Huber and Raychul...",windows | mac,Family Sharing | Single-player,6.19,79,196,Mostly Negative,275,0.287272727,,,FALSE
246760,Legends of Eisenwald,02/07/15,Adventure | Indie | RPG | Strategy,3D | Character Customization | Choices Matter | Choose Your Own Adventure | Difficult | Historical | Inventory Management | Level Editor | Medieval | Multiple Endings | RPG | Story Rich | Strategy | Strategy RPG | Tactical | Tactical RPG | Third Person | Turn-Based | Turn-Based Combat | Turn-Based Strategy,"Legends of Eisenwald is an adventure game with tactical battles, RPG and strategy elements. Take the lead of a small feudal army and try to defend your right to survive in this ruthless medieval world.",windows,Family Sharing | Includes level editor | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards | Steam Workshop,14.99,1342,425,Mostly Positive,1767,0.759479344,71,1345,FALSE
246800,BeatBlasters III,21/02/14,Action | Indie,Action | Indie | Music | Platformer | Rhythm,"Welcome to Accapella! When Joey and Gina arrive in the musically starved town that outlawed groovy tunes, a chance encounter with the music hating tyrannical ruler of the town (and local butcher) sends them flying.",windows | mac | linux,Family Sharing | Full controller support | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,6.99,34,53,Mostly Negative,87,0.390804598,56,,FALSE
246820,Jeklynn Heights,25/05/16,Action | Adventure | Casual | Early Access | Indie,Action | Adventure | Casual | Early Access | Indie,"A corrupt and bizarre town is the quirky setting to Jeklynn Heights, a fantastical and competitive online game. Run by a Mayor with a split personality and enigmatic past, a spell haunts the town he rules. Players must complete objectives, directed by the Mayor, to win and escape the town.",windows,Multi-player,0,20,6,Mostly Positive,26,0.769230769,,,TRUE
246840,FATE,12/12/13,Action | Adventure | RPG,Action | Action RPG | Adventure | Casual | Character Customization | Classic | Dog | Dungeon Crawler | Epic | Fantasy | Fishing | Great Soundtrack | Hack and Slash | Isometric | Loot | Old School | RPG | Roguelike | Roguelite | Singleplayer,"Play (or Re-play) This Classic Dungeon Crawler!During the golden days of action RPGs, FATE was a powerhouse, winning runner-up for PC Magazine’s Role-Playing Game of the year. Popular enough to spawn 3 sequels, this was one of the premier dungeon crawlers of its time.",windows,Family Sharing | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards,5.59,3651,178,Overwhelmingly Positive,3829,0.953512666,80,3488,FALSE
246880,Recruits,31/07/14,Action | Early Access | Indie,Action | Early Access | Indie | Shooter | Top-Down,"Recruits is a brutal fast paced top down shooter that puts the lives of countless amounts of soldiers in your command. Lead your men to victory and see them progress through the ranks, show them defeat and they will be lost forever.",windows,Co-op | Family Sharing | Multi-player | Partial Controller Support | Remote Play Together | Shared/Split Screen | Single-player | Steam Achievements | Steam Cloud,6.99,27,66,Mostly Negative,93,0.290322581,,,FALSE
246900,Viscera Cleanup Detail,23/10/15,Indie | Simulation,Adventure | Blood | Casual | Co-op | Comedy | First-Person | Funny | Gore | Horror | Indie | Multiplayer | Parody | Physics | Relaxing | Sandbox | Sci-fi | Simulation | Singleplayer | Space | Walking Simulator,"In Viscera Cleanup Detail, you step into the boots of a space-station janitor tasked with cleaning up after various horrific sci-fi horror events. Instead of machineguns and plasma-rifles, your tools are a mop and bucket. That hero left a mess, and it's up to you to deal with the aftermath.",windows | mac,Co-op | Family Sharing | Full controller support | Includes level editor | LAN Co-op | Multi-player | Online Co-op | Remote Play Together | Shared/Split Screen | Shared/Split Screen Co-op | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards | Steam Workshop,9.99,19773,1514,Very Positive,21287,0.928876779,,16114,FALSE
246920,Bombernauts,29/12/17,Action | Indie,Action | Indie | Multiplayer | Voxel,Bombernauts is an explosive online multiplayer battle game with fully destructible voxel terrain. Throw stupid amounts of bombs to blow your robot friends off the world into the deadly lava below where they will surely die a fiery death!,windows | mac | linux,Cross-Platform Multiplayer | Family Sharing | Full controller support | Includes level editor | Multi-player | Stats | Steam Achievements | Steam Cloud | Steam Trading Cards | Steam Workshop,6.99,140,39,Mostly Positive,179,0.782122905,,105,FALSE
246940,Lords of the Black Sun,12/09/14,Indie | Strategy,4X | Adventure | Indie | Sci-fi | Singleplayer | Space | Strategy | Turn-Based | Turn-Based Strategy,"Take command of one race to join the struggle for supremacy in the galaxy. As the leader of your empire you are tasked with exploring the stars, colonizing new worlds, managing your empire and conquering whoever dares to oppose you.",windows,Family Sharing | Multi-player | Single-player | Steam Achievements | Steam Trading Cards,22.99,78,314,Very Negative,392,0.198979592,,329,FALSE
246960,Giana Sisters: Twisted Dreams - Rise of the Owlverlord,26/09/13,Action | Indie,2.5D | 2D | Action | Arcade | Controller | Difficult | Female Protagonist | Great Soundtrack | Indie | Platformer | Side Scroller | Singleplayer,"Giana Sisters: Twisted Dreams - Rise of the Owlverlord is a blistering platformer with morphing worlds, featuring seven brand new levels, a new boss and new gripping tracks from Chris Hülsbeck and Machinae Supremacy! Dash through tricky levels and transform the whole world at will in this fast-paced platformer.",windows,Family Sharing | Full controller support | Remote Play on Phone | Remote Play on TV | Remote Play on Tablet | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,3.99,339,73,Very Positive,412,0.822815534,84,328,FALSE
246980,InFlux,18/09/13,Adventure | Casual | Indie,Adventure | Casual | Indie | Platformer | Puzzle,"InFlux is a puzzle game that mixes exploration and platforming in a series of beautiful natural and abstract environments. You are a mysterious metal sphere which falls from the sky, traversing an apparently deserted island dotted with cubic structures of glass and steel.",windows,Family Sharing | Full controller support | Single-player | Steam Cloud | Steam Trading Cards,7.19,153,69,Mixed,222,0.689189189,,119,FALSE
247000,Talisman: Digital Edition,25/02/14,Free To Play | Indie | RPG | Strategy,2.5D | Adventure | Board Game | Card Game | Casual | Fantasy | Games Workshop | Grid-Based Movement | Indie | Local Co-Op | Local Multiplayer | Multiplayer | PvP | RPG | Singleplayer | Strategy | Tabletop | Touch-Friendly | Turn-Based | Turn-Based Strategy,"The officially licensed multiplayer version of the classic fantasy adventure board game, Talisman. On your travels, you will need strength, courage and some good dice rolls to survive the dangers you face and beat your opponents to the centre of the board!",windows | mac,Cross-Platform Multiplayer | Full controller support | Multi-player | Online PvP | PvP | Remote Play Together | Remote Play on Phone | Remote Play on TV | Remote Play on Tablet | Shared/Split Screen | Shared/Split Screen PvP | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards,5.19,7344,2030,Mostly Positive,9374,0.783443567,,5299,FALSE
247080,Crypt of the NecroDancer,23/04/15,Action | Indie | RPG,2D | Action | Action Roguelike | Difficult | Dungeon Crawler | Fantasy | Female Protagonist | Grid-Based Movement | Hack and Slash | Magic | Music-Based Procedural Generation | Mystery Dungeon | Perma Death | Pixel Graphics | Procedural Generation | RPG | Rhythm | Roguelike | Roguelite | Top-Down,"Crypt of the NecroDancer is an award winning hardcore roguelike rhythm game. Move to the music and deliver beatdowns to the beat! Groove to the epic Danny Baranowsky soundtrack, or select songs from your own MP3 collection!",windows | mac | linux,Captions available | Co-op | Family Sharing | Full controller support | Includes level editor | Multi-player | Remote Play Together | Remote Play on Phone | Remote Play on TV | Remote Play on Tablet | Shared/Split Screen Co-op | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards | Steam Workshop,10.99,23471,1010,Overwhelmingly Positive,24481,0.958743515,87,21711,FALSE
247140,Soundodger+,11/10/13,Action | Casual | Indie,2D | Abstract | Action | Arcade | Bullet Hell | Casual | Colorful | Difficult | Fast-Paced | Indie | Level Editor | Minimalist | Mouse only | Music | Music-Based Procedural Generation | Psychedelic | Rhythm | Shoot 'Em Up | Shooter | Singleplayer,"Dodge the music and dance through a mesmerizing ballet of choreographed bullets, each synced to music from over a dozen international artists. Push your creativity and skills with the fully-featured Level Editor and never run out of things to dodge.",windows,Family Sharing | Full controller support | Includes level editor | Remote Play Together | Remote Play on TV | Single-player | Stats | Steam Achievements | Steam Trading Cards,5.59,729,80,Very Positive,809,0.901112485,78,671,FALSE
247240,Volgarr the Viking,13/09/13,Action | Adventure | Indie,2D | 2D Platformer | Action | Adventure | Arcade | Difficult | Fantasy | Gore | Indie | Old School | Pixel Graphics | Platformer | Retro | Side Scroller | Singleplayer | Vikings,"Return to the Golden Age of arcades with a hardcore action platformer that pulls no punches! Possesses all the hallmarks of true classics like Super Ghouls 'N Ghosts (SNES), Rastan Saga (Arcade), Castlevania (NES) and more with precise controls, high challenge, and meticulous design.",windows | mac | linux,Family Sharing | Full controller support | Remote Play on TV | Single-player | Steam Achievements | Steam Leaderboards | Steam Trading Cards,6.99,1950,449,Very Positive,2399,0.812838683,76,1578,FALSE
